uuid,created_at,query,name,fulladdr,local_name,local_fulladdr,phone_numbers,latitude,longitude,categories,reviews,rating,url,domain,thumbnail,addr1,addr2,addr3,addr4,district,timezone
ChIJFf0qfgX_kT8RJ921f7krGsQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن آرایش و زیبایی شعله,خانی آباد نو جنوبی،منطقه ۱۹، تهران، استان تهران،، Iran,,,+982155005200,35.623922799999995,51.393429499999996,Hairdresser,,,,,,خانی آباد نو جنوبی،منطقه ۱۹، تهران، استان تهران،,Iran,,,,Asia/Tehran
ChIJBfnLkMf_kT8R37AylG5wEUU,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Aghaye Arayeshgar Barber Shop,"Tehran Province, شریعتی جنوبی، منطقه ۱۹، تهران،، Iran",آرایشگاه آقای آرایشگر,استان تهران، شریعتی جنوبی، منطقه ۱۹، تهران،,+989353009188,35.629425999999995,51.376576199999995,Hairdresser,1,5,,,https://lh5.googleusercontent.com/p/AF1QipMr1SXsXUbg9hD6bRfy9yH6hd1LQze_UrFaAMJU,Tehran Province,شریعتی جنوبی، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJ2ev0yAr_kT8R1sAvhrb07OI,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه ستایش,"Tehran Province, Tehran, 56th St, Iran",,,,35.631835099999996,51.3801493,Hair salon,,,,,,Tehran Province,Tehran,56th St,Iran,,Asia/Tehran
ChIJ8-1KX_H_kT8Rrw6nBMEGRVw,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,تاتو تتو اجرا و اموزش,استان تهران، تهران،، خیابان میثاق،، Iran,,,+989019750013,35.6312107,51.386061,Hair salon,,,,,,استان تهران، تهران،,خیابان میثاق،,Iran,,,Asia/Tehran
ChIJPeX7T_r_kT8RtL2RKD-YlxE,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,آرابشگاه میلاد,"Tehran Province, خانی آباد نو جنوبی، منطقه ۱۹، تهران،، Iran",,استان تهران، خانی آباد نو جنوبی، منطقه ۱۹، تهران،,+989197096023,35.6242052,51.3932138,Hairdresser,1,5,,,https://lh5.googleusercontent.com/p/AF1QipN8hOxrOW39K3UN1kOS7DK6wSnKOITXDF4BAow0,Tehran Province,خانی آباد نو جنوبی، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJP6n5bO7_kT8ReH8xDnoXNyc,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,خیابان برادران فلاح,"فلاح, تهران، استان تهران،، Iran",,,,35.633581,51.397499499999995,Hair salon,,,,,,"فلاح, تهران، استان تهران،",Iran,,,,Asia/Tehran
ChIJIVkkL0H_kT8RHKO270wCtLQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی بانو هلان,"Tehran Province, اسفندیاری، منطقه ۱۹، تهران،، Iran",,استان تهران، اسفندیاری، منطقه ۱۹، تهران،,+989359485758,35.6252115,51.3886517,Hair salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipMRp7UXI-_hj9pA5dfH5GulFmnWQP8y1F0xbBx3,Tehran Province,اسفندیاری، منطقه ۱۹، تهران،,Iran,,,Asia/Tehran
ChIJ8xTERe7_kT8RdB0mqpz7aqU,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی ژینوس,استان تهران، تهران، بلوار شقایق، خانه جمال آقاجانلو،، Iran,,,,35.6300081,51.388719099999996,Beauty salon,,,,,,استان تهران، تهران، بلوار شقایق، خانه جمال آقاجانلو،,Iran,,,,Asia/Tehran
ChIJMz4BGcb_kT8RB7Wdwmh9VVE,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن هنر زیبایی شعبه ۱,Tahran Tehran District 12 خانی آباد نو خیابان میعاد شمالی، کوچه ۱۲ پلاک ۱۴، Iran,,,+982155501629,35.632595099999996,51.3887042,Beauty salon,,,,,,Tahran Tehran District 12 خانی آباد نو خیابان میعاد شمالی,کوچه ۱۲ پلاک ۱۴,Iran,,,Asia/Tehran
ChIJNSwQZEv-kT8RIzd8Z-gMyyM,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Yegane Ara Beauty Salon,"J9HR+Q5W District 19, Tehran, Tehran Province, Iran",آرایشگاه و زیبایی یگانه آرا,J9HR+Q5W منطقه ۱۹، تهران، استان تهران,+982155520074,35.6294955,51.3904542,School,8,3.8,,,https://lh5.googleusercontent.com/p/AF1QipOIvUFtCMMzoR-lEUpmQ7A2j9PftPyQEEvz2B06,J9HR+Q5W District 19,Tehran,Tehran Province,Iran,District 19,Asia/Tehran
ChIJRf57bzb_kT8R7t6fSL64XmQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی نسرین ژینو,"استان تهران، تهران،، Samadi St, Iran",,استان تهران، تهران،، خیابان صمدی,+982155521392,35.632544599999996,51.3797491,Hair salon,5,5,,,,استان تهران، تهران،,Samadi St,Iran,,,Asia/Tehran
ChIJ_05151n_kT8RRXT7R4jmTOs,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Habib,"Tehran Province, Tehran, Abooreyhan St, Iran",,استان تهران، تهران، خیابان ابوریحان,+989351953520,35.6329691,51.375992,Hair salon,,,,,,Tehran Province,Tehran,Abooreyhan St,Iran,,Asia/Tehran
ChIJ1ZHZmHr_kT8REACeQtit-FQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Banoohelan Beauty Salon,"Tehran, خانی آبادنو، خیابان میثاق شمالی( شهرک بستان) ، خیابان بنفشه ، نبش کوچه 9 ، پلاک 14, خیابان میثاق شمالی،, Iran",سالن زیبایی بانو هلان,,,35.632688099999996,51.385779,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipOA5HAr-P05d6Ii9QERL6ySX0emYA9rjNvKZKnn,"Tehran, خانی آبادنو، خیابان میثاق شمالی( شهرک بستان) ، خیابان بنفشه ، نبش کوچه 9 ، پلاک 14, خیابان میثاق شمالی،",Iran,,,,Asia/Tehran
ChIJI4u8keP_kT8R4320BiBqo7Q,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,maryam baghery,"Tehran, میدان ابن سینا, پلاک 9, Iran",,,+989199284965,35.632601699999995,51.3902852,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipNEnJ7vsjrpl7QzSwdewaYlPKjsSD1Vs_FtH7Q_,Tehran,میدان ابن سینا,پلاک 9,Iran,,Asia/Tehran
ChIJ6Yvhcnf_kT8Rezj93KjnzMQ,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,almas beauty salon,"Tehran Province, Tehran, District 19, Fazeli Alley, Iran",سالن زیبایی الماس,استان تهران، تهران، منطقه ۱۹، کوچه فاضلی,+982155515375,35.6303572,51.3887547,Hair salon,1,5,,,,"Tehran Province, Tehran",District 19,Fazeli Alley,Iran,District 19,Asia/Tehran
ChIJN2-cv7T_kT8RPWwaZuQTui8,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه اینانا,خیابان میثاق،استان تهران، تهران،، Iran,,,+989125000420,35.62925,51.387725499999995,Beauty salon,6,4.7,,,https://lh5.googleusercontent.com/p/AF1QipO6mwZOHZcpC8weY1JI2YuP7PDC1HHKmSratnp7,خیابان میثاق،استان تهران، تهران،,Iran,,,,Asia/Tehran
ChIJhaPGbdf_kT8RU3W5dpTiTBg,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Pink rose salon,"Tehran Province, Tehran, District 19, 33th St, Iran",,,+989199284965,35.6272891,51.391661799999994,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipOOBcWe25Y0aZlVnlMDDQzbgM5fp5Kdm755gk0d,"Tehran Province, Tehran",District 19,33th St,Iran,District 19,Asia/Tehran
ChIJ5UeOjVP_kT8Rzu_LreBB8kE,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Enana beauty salon,"Tehran, استان تهران، تهران،،, Shaqayeq Blvd, Iran",,,+982155000420,35.629063699999996,51.387201,Beauty salon,,,,,,"Tehran, استان تهران، تهران،،",Shaqayeq Blvd,Iran,,,Asia/Tehran
ChIJg51_sGH_kT8RO_7tfwqRB5s,Mon Jan 24 2022 16:24:05 GMT+0330 (Iran Standard Time),beauty salon,Venues Beauty Salon,"J9HR+653 District 19, Tehran, Tehran Province, Iran",,J9HR+653 منطقه ۱۹، تهران، استان تهران,,35.628019099999996,51.390417899999996,Beauty salon,,,,,,J9HR+653 District 19,Tehran,Tehran Province,Iran,District 19,Asia/Tehran
ChIJQVbH2WP_kT8RLTv8cwBvJtc,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,نوژین سالن,استان تهران، تهران، خیابان یاخچی آباد،، Iran,,,,35.627964399999996,51.4023384,Hairdresser,,,,,,استان تهران، تهران، خیابان یاخچی آباد،,Iran,,,,Asia/Tehran
ChIJwcvRypX_kT8RHCmEHjqOQGY,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,پیرایش فرید,"Tehran Province, Tehran, Hamedi, Iran",,,+989389633458,35.6273337,51.4068763,Hair salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipNt1yn-J9R8UfnJfDxam56wOjRdmuoava1NJAE8,Tehran Province,Tehran,Hamedi,Iran,,Asia/Tehran
ChIJE4BqFan_kT8R4D7l_7PXXDg,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,آموزشگاه مهدیس سالن زیبایی,"استان تهران، تهران،، Yakhchi Abad St, Iran",,استان تهران، تهران،، خیابان یاخچی آباد,+982155003079,35.6279135,51.4023304,Beauty salon,,,,,,استان تهران، تهران،,Yakhchi Abad St,Iran,,,Asia/Tehran
ChIJ01hsqB3_kT8RLHWAUETWCdQ,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,ورزش,"JC85+66F District 19, Tehran, Iran",,JC85+66F منطقه ۱۹، تهران,,35.615558799999995,51.408052299999994,Beauty salon,,,,,,JC85+66F District 19,Tehran,Iran,,District 19,Asia/Tehran
ChIJPdW1BDb_kT8Ralciq9SFrnU,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,پوست ، مو و زیبایی سحر رنجبر,"JCH2+2QF, Tehran, Tehran Province, Iran",,JCH2+2QF، تهران، استان تهران,,35.627563699999996,51.401922199999994,Beauty salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipNj9HxQmPGdXfcFXt7xeOfdg9P_HUAKRCqxNJuM,JCH2+2QF,Tehran,Tehran Province,Iran,,Asia/Tehran
ChIJLQ_TTJj_kT8R9b-CVk-RPEw,Mon Jan 24 2022 16:24:01 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی شینر,"Tehran Province, Tehran, Street, Sayyadi St, Barbari Square, Iran",,,+989123335720,35.6290793,51.4092525,Beauty salon,,,https://my-official.ir/JnNtwwItaj,my-official.ir,https://lh5.googleusercontent.com/p/AF1QipPwWFxMUyyJ-UxwxDrXGzmLFYqqcds5KSxlXJDA,"Tehran Province, Tehran, Street",Sayyadi St,Barbari Square,Iran,,Asia/Tehran
ChIJBX-IC77_kT8RteFUwXKWW5g,Mon Jan 24 2022 16:23:59 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی سیگل,استان تهران، تهران، کوچه مدرسه،، Iran,,,+982155511905,35.6123981,51.4111982,Beauty salon,,,,,,استان تهران، تهران، کوچه مدرسه،,Iran,,,,Asia/Tehran
ChIJWYPQXfL_kT8RF37c-Cai_qc,Mon Jan 24 2022 16:23:56 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی نیدآل,"Tehran Province, Tehran, Southern Ali Abad, 51th St, Iran",,,+989199264514,35.625031299999996,51.4138028,Beauty salon,,,,,,"Tehran Province, Tehran",Southern Ali Abad,51th St,Iran,Southern Ali Abad,Asia/Tehran
ChIJAwP1G2X-kT8RKvJT0L57Dqs,Mon Jan 24 2022 16:23:53 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه مردانه,"JCM9+7GC Khazaneh Bokharaee, Tehran, Tehran Province, Iran",,JCM9+7GC خزانه بخارایی، تهران، استان تهران,,35.633196399999996,51.418761499999995,Hairdresser,,,,,,JCM9+7GC Khazaneh Bokharaee,Tehran,Tehran Province,Iran,Khazaneh Bokharaee,Asia/Tehran
ChIJSQZ9tdH_kT8RtU80YfAOEW8,Mon Jan 24 2022 16:23:53 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی مارال,استان تهران، تهران، نازی آباد، ،18 تختی کوچه 51 پلاک 4،، Iran,,,+982155532478,35.6304701,51.4131359,Beauty salon,,,,,,استان تهران، تهران، نازی آباد، ،18 تختی کوچه 51 پلاک 4،,Iran,,,,Asia/Tehran
ChIJ0xLfx33_kT8RfwE156wlkIk,Mon Jan 24 2022 16:23:53 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی مادیم,استان تهران، تهران،، خیابان فروردین، Iran,,,,35.6294919,51.406041699999996,Beauty salon,,,http://www.instagram.com/madim_salon,instagram.com,https://lh5.googleusercontent.com/p/AF1QipM5sRB8doNck0bg8_lb04ofydQpnuIQPsb17j1f,استان تهران، تهران،,خیابان فروردین,Iran,,,Asia/Tehran
ChIJdcSU4Dv_kT8RK5OcB9itsl8,Mon Jan 24 2022 16:23:53 GMT+0330 (Iran Standard Time),beauty salon,بیتا,"Tehran Province, شهرک تختی، علی آباد جنوبی، تهران،، Iran",,استان تهران، شهرک تختی، علی آباد جنوبی، تهران،,+982155341338,35.629278,51.4129432,Beauty salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipOEE_ZTRxtn2T7WUpjVvAXFmuDFtfxUcHYGrkua,Tehran Province,شهرک تختی، علی آباد جنوبی، تهران،,Iran,,,Asia/Tehran
ChIJwxTsUrr_kT8RVOvYi-3TUtY,Mon Jan 24 2022 16:23:50 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه مردانه لاکچری,"Tehran Province, Tehran, District 20, شهر ری - میدان مادر - خیابان غیبی - نبش خزایی،, Gheibi St, محل احداث برج تالی،, Iran",,,+989195511905,35.6163768,51.426888399999996,Hair salon,3,5,,,https://lh5.googleusercontent.com/p/AF1QipOqMgubEfdHtCI9x1J48d3JzoIZFaXc9UIzcHZQ,"Tehran Province, Tehran, District 20, شهر ری - میدان مادر - خیابان غیبی - نبش خزایی،",Gheibi St,محل احداث برج تالی،,Iran,,Asia/Tehran
ChIJA7VUfNL_kT8RZBY3MV3ZBrI,Mon Jan 24 2022 16:23:50 GMT+0330 (Iran Standard Time),beauty salon,پرسینگ مریم,استان تهران، تهران، علی تبار،، Iran,,,+982155189583,35.6228968,51.4237247,Hair salon,,,,,,استان تهران، تهران، علی تبار،,Iran,,,,Asia/Tehran
ChIJ_bJTl1r_kT8RFziaDnnse1k,Mon Jan 24 2022 16:23:50 GMT+0330 (Iran Standard Time),beauty salon,مرکز کاشت مژه,استان تهران، تهران، علی آباد جنوبی،، علی تبار، Iran,,,+989018806174,35.6229545,51.4238527,Hair salon,,,,,https://lh5.googleusercontent.com/p/AF1QipO2ybnfr5oKpMcz5SJVQS4rHI01GaZMbVWJIIoT,استان تهران، تهران، علی آباد جنوبی،,علی تبار,Iran,,,Asia/Tehran
ChIJT4KfyJr_kT8RihQDypLzkjs,Mon Jan 24 2022 16:23:50 GMT+0330 (Iran Standard Time),beauty salon,سولاریوم مریم,"Tehran Province, علی آباد جنوبی، تهران،، Iran",,استان تهران، علی آباد جنوبی، تهران،,+982155189583,35.6226846,51.4236401,Hair salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipOHFOG7kj78uTCP0Mnh-59xavGDQmDM8ulqrT6z,Tehran Province,علی آباد جنوبی، تهران،,Iran,,,Asia/Tehran
ChIJX7o_XXD_kT8Rrsc6QdOSxZo,Mon Jan 24 2022 16:23:50 GMT+0330 (Iran Standard Time),beauty salon,پیرایش حسین خان,"استان تهران، تهران، تهران، علی آباد جنوبی، بلوار دستواره، خیابان شهید، بلوار دستواره، علی, Iran",,,+982155085056,35.6231814,51.4242388,Hair salon,2,5,,,https://lh5.googleusercontent.com/p/AF1QipPE92nndKcRb-9Trz0BFK83pdGPi3XkbblkOZyR,استان تهران، تهران، تهران، علی آباد جنوبی، بلوار دستواره، خیابان شهید، بلوار دستواره، علی,Iran,,,,Asia/Tehran
ChIJkTPEXr7_kT8RxES9HLOkpEo,Mon Jan 24 2022 16:23:48 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه امیر,استان تهران، تهران، جوانمرد قصاب،، Iran,,,+989309452058,35.6109177,51.4286457,Hair salon,,,,,,استان تهران، تهران، جوانمرد قصاب،,Iran,,,,Asia/Tehran
ChIJ-37aU0T_kT8RjqSlwDi91bY,Mon Jan 24 2022 16:23:48 GMT+0330 (Iran Standard Time),beauty salon,سالن آرایش موژان,"تهران، تهران، پ ۱۲، خ رضا زاده کوچه شهید علی، بیگی، پلاک، 12th St, Iran",,,+982155102813,35.6106816,51.4136068,Hair salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipM4K_CuJ_xMs-4nAYAnvo2oQbW0tkIu7Z0tBPDf,تهران، تهران، پ ۱۲، خ رضا زاده کوچه شهید علی، بیگی، پلاک,12th St,Iran,,,Asia/Tehran
ChIJD1Eiap_-kT8RrUbImezbW_4,Mon Jan 24 2022 16:23:48 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی پاتریشیا,"Tehran Province, Tehran, خیابان حنیفه زاده، Iran",,استان تهران، تهران، خیابان حنیفه زاده,+982133379732,35.6112742,51.427111499999995,Beauty salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipNL8gndeI3fQT_hRPIxcKuAnfFkl9mKhDztNuvc,Tehran Province,Tehran,خیابان حنیفه زاده,Iran,,Asia/Tehran
ChIJ8e03Dtj9kT8RcXUnR4ooryc,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه هستی ری,استان تهران، تهران،، خیابان خدابندلو، Iran,,,,35.608893699999996,51.4341186,Hair salon,,,,,,استان تهران، تهران،,خیابان خدابندلو,Iran,,,Asia/Tehran
ChIJlc2eCSX9kT8RfU3UR5CrylI,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,Meysam_barber1985,Tehran Taran District 20 استان تهران، تهران، شهادت، Iran,,,+989192236101,35.6120168,51.442043899999994,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipNuAWt5G0wlOm8-oF1UOfxjR2DQf6DBbhQfSF8e,Tehran Taran District 20 استان تهران، تهران، شهادت,Iran,,,,Asia/Tehran
ChIJ1doJfnj_kT8RIasRI1lcI2M,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,سالن زیبایی آفاق,منتظری،منطقه ۲۰، تهران، استان تهران،، Iran,,,+982136809607,35.6060247,51.4303446,Beauty salon,2,3,,,https://lh5.googleusercontent.com/p/AF1QipMwevS40_B9fTjxF06iP26L892ZrHtoVmkmeEQ-,منتظری،منطقه ۲۰، تهران، استان تهران،,Iran,,,,Asia/Tehran
ChIJO9OXlpf_kT8RBQH7n6TqIYg,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,آموزشگاه و انستیتو زیبایی مه رویان,"Tehran, District 20, Golha, Iran",,تهران، منطقه ۲۰، گلها,+982133757091,35.6064454,51.427077,Beauty salon,1,5,http://instagram.com/Nahidzamani_hairstylist,instagram.com,,Tehran,District 20,Golha,Iran,District 20,Asia/Tehran
ChIJYfaMoxv8kT8RSBv4kXLj6AY,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,Iran Banoo Beauty Salon,"Tehran Province, Tehran, چهارراه اتوبان شهیدکریمی.فاز یک مجتمع میثم.پلاک ۶۱، فدائیان اسلام نبش زنگنه، Iran",سالن زیبایی ایران بانو,استان تهران، تهران، چهارراه اتوبان شهیدکریمی.فاز یک مجتمع میثم.پلاک ۶۱، فدائیان اسلام نبش زنگنه,+982133764842,35.6077917,51.437897899999996,Beauty salon,1,5,https://instagram.com/iranbanoo66?igshid=1iv8jy5j146ov,instagram.com,https://lh5.googleusercontent.com/p/AF1QipOLBuXZvTkLvXme4kb0vOAhptdCzBdpeG8vyYvK,"Tehran Province, Tehran",چهارراه اتوبان شهیدکریمی.فاز یک مجتمع میثم.پلاک ۶۱,فدائیان اسلام نبش زنگنه,Iran,,Asia/Tehran
ChIJoxgDdVb9kT8RUsIPsqSOc5Q,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,مرکز تخصصی خدمات زیبایی و مراقبتی ستیا,"Tehran Province, Tehran, Sarlak, Iran",,,,35.609400199999996,51.439751,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipOX-i7_22gePYUAsux9tIghOUc71qR4aoPcpTb9,Tehran Province,Tehran,Sarlak,Iran,,Asia/Tehran
ChIJQwRXPNj9kT8RuG3MIpoWZqU,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,زیباکده پرنسس,"JC6V+4P7 District 20, Tehran, Tehran Province, Iran",,JC6V+4P7 منطقه ۲۰، تهران، استان تهران,+982133744355,35.6102989,51.4443103,Beauty salon,1,5,,,,JC6V+4P7 District 20,Tehran,Tehran Province,Iran,District 20,Asia/Tehran
ChIJSSeuf1H9kT8RwY0ZRSjsGCc,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,خانه تیمی,"JC4R+PRV, Tehran, Tehran Province, Iran",,,,35.6067538,51.4421229,Beauty salon,,,,,,JC4R+PRV,Tehran,Tehran Province,Iran,,Asia/Tehran
ChIJlS284yL9kT8R3doZkgNBuOk,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,پیراش کریمی,"Tehran Province, Tehran, Bibi Zobeydeh, Iran",,,+989125400780,35.6059239,51.432587,Beauty salon,,,,,,Tehran Province,Tehran,Bibi Zobeydeh,Iran,,Asia/Tehran
ChIJwRJU9RD8kT8RMXkl8DMA1Ns,Mon Jan 24 2022 16:23:44 GMT+0330 (Iran Standard Time),beauty salon,آرایشگاه فریبا,"Tehran Province, Tehran, كوچه شهيد برادران معروف، Iran",,استان تهران، تهران، كوچه شهيد برادران معروف,+982166426232,35.609380099999996,51.442815499999995,Beauty salon,4,3.8,,,,Tehran Province,Tehran,كوچه شهيد برادران معروف,Iran,,Asia/Tehran
ChIJv5rwB0D9kT8RA1v_bSEZPXM,Mon Jan 24 2022 16:23:41 GMT+0330 (Iran Standard Time),beauty salon,زیباسرای تخصصی آبرنگ,"Tehran Province, حسین آباد، منطقه ۲۰، تهران،، Iran",,استان تهران، حسین آباد، منطقه ۲۰، تهران،,+989195360530,35.6024224,51.4369204,Hair salon,2,5,,,https://lh5.googleusercontent.com/p/AF1QipO41UkWaa_yVIm6YvzJNbFeCYMw42k44wT03Hmt,Tehran Province,حسین آباد، منطقه ۲۰، تهران،,Iran,,,Asia/Tehran
ChIJbZFD8oj9kT8RJ95IMw_dsPg,Mon Jan 24 2022 16:23:41 GMT+0330 (Iran Standard Time),beauty salon,مرکز لیزر و زیبایی سایدا,استان تهران، تهران، دیلمان جنوبی، منطقه ۲۰، تهران،،، Iran,,,+982155904928,35.601724499999996,51.4382634,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipP7-CJ-oH4dysK9xPeomwk8Xu8c-tRZxjGOChnG,استان تهران، تهران، دیلمان جنوبی، منطقه ۲۰، تهران،،,Iran,,,,Asia/Tehran
ChIJGaEk7af-kT8RfyoiBxvgqc8,Mon Jan 24 2022 16:23:41 GMT+0330 (Iran Standard Time),beauty salon,ساغر ری,"Tehran Province, Tehran, بلوار امام حسین, Iran",,,+982155912930,35.603319299999995,51.430191799999996,Beauty salon,1,5,,,https://lh5.googleusercontent.com/p/AF1QipN0lNdP8EMzXGR6oZ931jrlMYUMyGebZlG1ss7m,Tehran Province,Tehran,بلوار امام حسین,Iran,,Asia/Tehran
ChIJt_qlu6D-kT8Revf38WrUsuc,Mon Jan 24 2022 16:23:41 GMT+0330 (Iran Standard Time),beauty salon,Nikaroj Beauty Salon,"Tehran Province, Tehran, Tehran شهرری، میدان نماز، ابتدای, Imam Hossein St, Iran",سالن زیبایی نیکاروژ,,+982133743956,35.603420799999995,51.4274164,Beauty salon,1,5,,,,"Tehran Province, Tehran",Tehran شهرری، میدان نماز، ابتدای,Imam Hossein St,Iran,,Asia/Tehran
ChIJ-ZN2wE39kT8RsNrAfZXGrfU,Mon Jan 24 2022 16:23:41 GMT+0330 (Iran Standard Time),beauty salon,سالن آرایش وزیبایی بانو مریم کریمی,"Tehran Province, محله قادری، منطقه ۲۰، تهران،، Iran",,استان تهران، محله قادری، منطقه ۲۰، تهران،,+982155937635,35.602731399999996,51.4313548,Beauty salon,,,,,https://lh5.googleusercontent.com/p/AF1QipPOKQ0PjZEdrHtzTFssW_DOyfA_f0Yo114kqJP4,Tehran Province,محله قادری، منطقه ۲۰، تهران،,Iran,,,Asia/Tehran
